dizi_url,review_url
https://www.imdb.com/title/tt0460649/,https://www.imdb.com/title/tt0460649/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt2654620/,https://www.imdb.com/title/tt2654620/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0098749/,https://www.imdb.com/title/tt0098749/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt3749900/,https://www.imdb.com/title/tt3749900/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt2261227/,https://www.imdb.com/title/tt2261227/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt6468322/,https://www.imdb.com/title/tt6468322/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0088559/,https://www.imdb.com/title/tt0088559/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt1837492/,https://www.imdb.com/title/tt1837492/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt5675620/,https://www.imdb.com/title/tt5675620/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt4396630/,https://www.imdb.com/title/tt4396630/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0844441/,https://www.imdb.com/title/tt0844441/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt3398228/,https://www.imdb.com/title/tt3398228/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt1442437/,https://www.imdb.com/title/tt1442437/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt10048342/,https://www.imdb.com/title/tt10048342/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0367279/,https://www.imdb.com/title/tt0367279/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt5071412/,https://www.imdb.com/title/tt5071412/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt3322314/,https://www.imdb.com/title/tt3322314/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt1124373/,https://www.imdb.com/title/tt1124373/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0206512/,https://www.imdb.com/title/tt0206512/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt2357547/,https://www.imdb.com/title/tt2357547/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0098800/,https://www.imdb.com/title/tt0098800/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0285333/,https://www.imdb.com/title/tt0285333/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt0096708/,https://www.imdb.com/title/tt0096708/reviews/?ref_=tt_urv_sm
https://www.imdb.com/title/tt2372162/,https://www.imdb.com/title/tt2372162/reviews/?ref_=tt_urv_sm
